thisRow.t,notes,Feature Type,Feature Number,Morph Level,Key,Response Time,participant,session,date,expName,psychopyVersion,frameRate,
,,app,11,99,right,0.2591831684112549,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,44,left,0.3010833263397217,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,0,left,0.07562828063964844,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,44,left,0.3727700710296631,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,66,right,1.0250189304351807,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,22,left,0.2757437229156494,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,99,right,0.5329420566558838,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,88,right,0.2594943046569824,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,0,left,0.24404406547546387,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,22,left,0.3335733413696289,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,44,left,0.26807546615600586,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,77,right,0.25002431869506836,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,77,right,0.26187562942504883,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,88,right,0.2545480728149414,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,22,left,0.272078275680542,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,77,right,0.2873423099517822,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
,,app,11,77,right,0.2877769470214844,sub1,001,2025-04-19_00h19.36.036,task1,2021.2.3,None,
